,,,,,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,
5.6.9,"Pengurusan dan Pindaan Resit
Sistem hendaklah menyediakan modul Pengurusan dan Pindaan Resit yang menyokong keseluruhan kitaran hayat resit, termasuk proses pengesahan, pembatalan, pindaan, pengemaskinian, pewujudan baharu dan reversal resit. Modul ini hendaklah mematuhi keperluan berikut:

1. Fungsi Pengurusan Resit
Sistem hendaklah membolehkan:
Pengesahan resit oleh pegawai yang diberi kuasa.
Pembatalan resit bagi transaksi yang tidak sah.
Pindaan dan pengemaskinian data resit bagi kesilapan input.
Pewujudan resit baharu sekiranya diperlukan.
Proses reversal resit mengikut kawalan dalaman kewangan.

2. Muat Naik Dokumen
Sistem hendaklah menyediakan fungsi muat naik dokumen sokongan berkaitan skim Kontrak-i.

Dashboard Pengesahan
Dashboard hendaklah memaparkan urutan pengesahan baucer berdasarkan tarikh pengesahan oleh Pengurus Cawangan (PC).

Pemadanan Resit dengan Penyata Bank
JPSP memuat naik penyata bank secara harian dan sistem hendaklah melakukan pemadanan automatik berdasarkan ciri-ciri berikut seperti Nama pembekal / pembayar, Nombor EFT / nombor cek, Jumlah transaksi, Nombor akaun pembiayaan dan maklumat lain yang berkaitan

Notifikasi Automatik
Sistem hendaklah menghantar emel notifikasi pengesahan baucer kepada Pembantu Pegawai (PP) dan PC secara automatik melalui alamat yang akan ditetapkan.

3. Lain-Lain Produk (Mobile App Collector (MAC) / Cek)
JPSP memuat naik penyata bank secara harian dan sistem hendaklah melaksanakan pemadanan automatik berdasarkan data berikut seperti Kod Ejen, Masa transaksi, Amaun, Tarikh dan maklumat lain yang berkaitan.",Mandatori,,,,,,,,
5.7,Pengurusan Early Settlement,,,,,,,,,
5.7.1,"Petender hendaklah membangunkan fungsi Pengiraan Penyelesaian Awal (Early Settlement) yang melaksanakan pengiraan rebat secara automatik selepas bayaran akhir dibuat. Sistem hendaklah membenarkan pentadbir jabatan untuk menetapkan atau mengubah parameter pengiraan rebat sekiranya berlaku perubahan polisi. Usahawan hanya dibenarkan melihat amaun bersih (net) yang perlu dijelaskan.
Nota: Pengiraan hendaklah mengambil kira caj dua (2) bulan.",Mandatori,,,,,,,,
5.8,Pengurusan Akaun Selesai Bayar,,,,,,,,,
5.8.1,Mewujudkan status makluman serahan NOD kepada usahawan bagi memastikan caj owings dalam proses tindakan.,Mandatori,,,,,,,,
5.8.2,Tindakan selesai bayar boleh dilaksanakan di peringkat cawangan tanpa melibatkan pelarasan secara manual.,Mandatori,,,,,,,,
5.8.3,Mewujudkan dashboard untuk cawangan bagi pemantauan akaun selesai bayar mengikut jadual/ pengeluaran nama dari Agensi Pelaporan Kredit (seperti CTOS) untuk tindakan selanjutnya.,Mandatori,,,,,,,,
5.9,Adjustment Akaun,,,,,,,,,
5.9.1,"Sekiranya terdapat pengurangan bayaran setelah akaun tutup tamat tidak boleh dikemaskini tetapi terdapat fungsi untuk adjustment akaun tersebut tanpa mengubah status akaun asal dan pengiraan terkini pada akaun adjustment tersebut. Dari segi pelaporan, akaun terkini ada pada akaun adjustment.",Mandatori,,,,,,,,
5.10,Komponen Kecerdasan AI untuk Pengurusan Bayaran Balik,,,,,,,,,
5.10.1,Petender hendaklah menyediakan pemadanan resit bayaran automatik dengan akaun pinjaman menggunakan logik pintar.,Mandatori,,,,,,,,
5.10.2,Petender perlu membangunkan analitik untuk mengesan lebihan/kekurangan bayaran dan memberi cadangan pelarasan automatik.,Mandatori,,,,,,,,
5.10.3,"Petender dikehendaki menyediakan chatbot pintar untuk semakan baki, penyata dan panduan pembayaran.",Mandatori,,,,,,,,
5.10.4,Petender hendaklah membangunkan penjanaan penyata automatik berkala atau atas permintaan serta menghantar notifikasi pintar melalui SMS/e-mel. Sistem perlu force ON notification.,Mandatori,,,,,,,,
5.10.5,Petender perlu membangunkan fungsi ramalan corak bayaran untuk memberi peringatan awal tunggakan atau pembayaran awal kepada peminjam.,Mandatori,,,,,,,,
TAMAT MODUL BAYARAN PEMBIAYAAN (FINANCING PAYMENT),,,,,,,,,,
