7.6.8,"Petender hendaklah menyediakan fungsi Pemberhentian Tindakan Saman. BSK boleh mengeluarkan arahan pemberhentian tindakan saman kepada panel.

Panel akan menerima notifikasi menerusi emel dan dikeluarkan daripada senarai
Nota : Sebelum daftar dan selepas daftar mahkamah",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.7,Proses Mahkamah,,,,,,,,,,,,,,,,,,,,,,
7.7.1,"Petender hendaklah menyediakan fungsi Rekod Pendaftaran Kes. Selepas kes didaftarkan di mahkamah oleh panel peguam, sistem akan:
•	Merekod nombor kes mahkamah
•	Nama mahkamah dan lokasi
•	Tarikh pendaftaran kes
•	Jenis tuntutan (sivil / penyitaan / penghakiman terus)",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.7.2,"Petender hendaklah menyediakan fungsi Proses Mahkamah iaitu
•	Menerima arahan Mahkamah
•	Pemfailan kertas kausa berkaitan
•	Tindakan Interlokutori (JID, O14 & dll.)
•	Mitigasi ATAU Bicara / dll.",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.8,Penghakiman (Judgement,,,,,,,,,,,,,,,,,,,,,,
7.8.1,"Petender hendaklah menyediakan fungsi Penghakiman (Judgement) iaitu:
•	Penghakiman Ingkar kehadiran
•	Penghakiman Ingkar Pembelaan
•	Penghakiman Terus
•	Penghakiman Persetujuan
•	Perintah selepas bicara penuh

Sekiranya Penghakiman Berpihak Kepada TEKUN Nasional, Menyerahkan perintah kepada usahawan dan pantau pembayaran",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.8.2,"Petender hendaklah menyediakan fungsi Kemas Kini Status Penghakiman - Panel peguam boleh mengemaskini:
•	Status semasa kes, contoh: Dalam Pendengaran, Tangguh, Diputuskan
•	Keputusan, contoh: Menang / Kalah / Penyelesaian luar mahkamah
•	Status rayuan (jika ada)
•	Ulasan dan cadangan oleh panel peguam (termasuk cadangan mediasi)

Sistem menyimpan setiap perubahan dengan jejak audit (audit trail)",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.8.3,"Petender hendaklah menyediakan fungsi Pautan kepada Dokumen Penghakiman. Setiap status kes boleh dikaitkan dengan dokumen, contoh:
•	Bukti penghantaran notis
•	Salinan kertas kausa
•	Surat keputusan mahkamah
•	Surat perbincangan
•	Dan lain-lain

Dokumen ini boleh dimuat turun (download) dan diakses oleh pegawai berkaitan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.8.4,"Petender hendaklah menyediakan fungsi Paparan Dashboard Pemantauan Kes Penghakiman - Dashboard interaktif disediakan bagi:
•	Senarai kes mengikut status (aktif / selesai / rayuan)
•	Filter mengikut negeri, cawangan, produk pinjamanpembiayaan
•	Graf jumlah kes aktif & keputusan bulanan

Memudahkan pemantauan oleh pihak pengurusan atau jabatan guaman
",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.8.5,"Petender hendaklah menyediakan fungsi Laporan Ringkasan & Terperinci - Sistem menjana laporan automatik seperti:
•	Kes aktif mengikut mahkamah atau peguam
•	Tempoh purata kes diselesaikan
•	Jumlah tuntutan yang berjaya dikutip melalui litigasi
•	Laporan dan senarai tempoh penghakiman",Mandatori,,,,,,,,,,,,,,,,,,,,,
